rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
CC[N]O[O]+[CH]1C=CC=CC1<=>[OH]+CCN=O,CC[N]O[O],[CH]1C=CC=CC1,[OH],CCN=O,CC[N]O[O]+[CH]1C=CC=CC1,[OH]+CCN=O,True,True,True,True,rmg_rxn_895
[SH]+[CH]1C=CC=CC1<=>S+[C]1=CC=C[CH]C1,[SH],[CH]1C=CC=CC1,S,[C]1=CC=C[CH]C1,[SH]+[CH]1C=CC=CC1,S+[C]1=CC=C[CH]C1,True,True,True,True,rmg_rxn_896
C=C=[N]+[CH]1C=CC=CC1<=>CC#N+[C]1=CC=C[CH]C1,C=C=[N],[CH]1C=CC=CC1,CC#N,[C]1=CC=C[CH]C1,C=C=[N]+[CH]1C=CC=CC1,CC#N+[C]1=CC=C[CH]C1,True,True,True,True,rmg_rxn_897
[C]1=CC=C[CH]C1+[CH]1C=CC=CC1<=>[C]1=C[CH]CC=C1+[CH]1C=CC=CC1,[C]1=CC=C[CH]C1,[CH]1C=CC=CC1,[C]1=C[CH]CC=C1,[CH]1C=CC=CC1,[C]1=CC=C[CH]C1+[CH]1C=CC=CC1,[C]1=C[CH]CC=C1+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_898
[C]1=C[CH]CC=C1+[CH]1C=CC=CC1<=>[C]1=CC=C[CH]C1+[CH]1C=CC=CC1,[C]1=C[CH]CC=C1,[CH]1C=CC=CC1,[C]1=CC=C[CH]C1,[CH]1C=CC=CC1,[C]1=C[CH]CC=C1+[CH]1C=CC=CC1,[C]1=CC=C[CH]C1+[CH]1C=CC=CC1,True,True,True,True,rmg_rxn_899
[O-][N+](=N)[CH2]+CCCC<=>[NH-][N+](=C)O+C[CH]CC,[O-][N+](=N)[CH2],CCCC,[NH-][N+](=C)O,C[CH]CC,[O-][N+](=N)[CH2]+CCCC,[NH-][N+](=C)O+C[CH]CC,True,True,True,True,rmg_rxn_900
[O-][N+](=N)[CH2]+CCCC<=>[NH-][N+](=C)O+[CH2]CCC,[O-][N+](=N)[CH2],CCCC,[NH-][N+](=C)O,[CH2]CCC,[O-][N+](=N)[CH2]+CCCC,[NH-][N+](=C)O+[CH2]CCC,True,True,True,True,rmg_rxn_901
[O-][N+](=N)[CH2]+CCCOCC<=>[NH-][N+](=C)O+C[CH]COCC,[O-][N+](=N)[CH2],CCCOCC,[NH-][N+](=C)O,C[CH]COCC,[O-][N+](=N)[CH2]+CCCOCC,[NH-][N+](=C)O+C[CH]COCC,True,True,True,True,rmg_rxn_902
[O-][N+](=N)[CH2]+CCCOCC<=>[NH-][N+](=C)O+CC[CH]OCC,[O-][N+](=N)[CH2],CCCOCC,[NH-][N+](=C)O,CC[CH]OCC,[O-][N+](=N)[CH2]+CCCOCC,[NH-][N+](=C)O+CC[CH]OCC,True,True,True,True,rmg_rxn_903
[O-][N+](=N)[CH2]+CCCOCC<=>[NH-][N+](=C)O+C[CH]OCCC,[O-][N+](=N)[CH2],CCCOCC,[NH-][N+](=C)O,C[CH]OCCC,[O-][N+](=N)[CH2]+CCCOCC,[NH-][N+](=C)O+C[CH]OCCC,True,True,True,True,rmg_rxn_904
[O-][N+](=N)[CH2]+CCCOCC<=>[NH-][N+](=C)O+[CH2]CCOCC,[O-][N+](=N)[CH2],CCCOCC,[NH-][N+](=C)O,[CH2]CCOCC,[O-][N+](=N)[CH2]+CCCOCC,[NH-][N+](=C)O+[CH2]CCOCC,True,True,True,True,rmg_rxn_905
[O-][N+](=N)[CH2]+CCCOCC<=>[NH-][N+](=C)O+[CH2]COCCC,[O-][N+](=N)[CH2],CCCOCC,[NH-][N+](=C)O,[CH2]COCCC,[O-][N+](=N)[CH2]+CCCOCC,[NH-][N+](=C)O+[CH2]COCCC,True,True,True,True,rmg_rxn_906
[O-][N+](=N)[CH2]+C1COCOC1<=>[NH-][N+](=C)O+[CH]1COCOC1,[O-][N+](=N)[CH2],C1COCOC1,[NH-][N+](=C)O,[CH]1COCOC1,[O-][N+](=N)[CH2]+C1COCOC1,[NH-][N+](=C)O+[CH]1COCOC1,True,True,True,True,rmg_rxn_907
[O-][N+](=N)[CH2]+C1COCOC1<=>[NH-][N+](=C)O+[CH]1CCOCO1,[O-][N+](=N)[CH2],C1COCOC1,[NH-][N+](=C)O,[CH]1CCOCO1,[O-][N+](=N)[CH2]+C1COCOC1,[NH-][N+](=C)O+[CH]1CCOCO1,True,True,True,True,rmg_rxn_908
[O-][N+](=N)[CH2]+C1COCOC1<=>[NH-][N+](=C)O+[CH]1OCCCO1,[O-][N+](=N)[CH2],C1COCOC1,[NH-][N+](=C)O,[CH]1OCCCO1,[O-][N+](=N)[CH2]+C1COCOC1,[NH-][N+](=C)O+[CH]1OCCCO1,True,True,True,True,rmg_rxn_909
S+[O-][N+](=N)[CH2]<=>[SH]+[NH-][N+](=C)O,S,[O-][N+](=N)[CH2],[SH],[NH-][N+](=C)O,S+[O-][N+](=N)[CH2],[SH]+[NH-][N+](=C)O,True,True,True,True,rmg_rxn_910
[O-][N+](=N)[CH2]+CCSCC<=>[NH-][N+](=C)O+CCS[CH]C,[O-][N+](=N)[CH2],CCSCC,[NH-][N+](=C)O,CCS[CH]C,[O-][N+](=N)[CH2]+CCSCC,[NH-][N+](=C)O+CCS[CH]C,True,True,True,True,rmg_rxn_911
[O-][N+](=N)[CH2]+CCSCC<=>[NH-][N+](=C)O+[CH2]CSCC,[O-][N+](=N)[CH2],CCSCC,[NH-][N+](=C)O,[CH2]CSCC,[O-][N+](=N)[CH2]+CCSCC,[NH-][N+](=C)O+[CH2]CSCC,True,True,True,True,rmg_rxn_912
[O-][N+](=N)[CH2]+CCN=O<=>[NH-][N+](=C)O+CC=N[O],[O-][N+](=N)[CH2],CCN=O,[NH-][N+](=C)O,CC=N[O],[O-][N+](=N)[CH2]+CCN=O,[NH-][N+](=C)O+CC=N[O],True,True,True,True,rmg_rxn_913
[O-][N+](=N)[CH2]+CCN=O<=>[NH-][N+](=C)O+[CH2]CN=O,[O-][N+](=N)[CH2],CCN=O,[NH-][N+](=C)O,[CH2]CN=O,[O-][N+](=N)[CH2]+CCN=O,[NH-][N+](=C)O+[CH2]CN=O,True,True,True,True,rmg_rxn_914
[O-][N+](=N)[CH2]+[O-][N+](=N)C<=>[O-][N+](=[N])C+[NH-][N+](=C)O,[O-][N+](=N)[CH2],[O-][N+](=N)C,[O-][N+](=[N])C,[NH-][N+](=C)O,[O-][N+](=N)[CH2]+[O-][N+](=N)C,[O-][N+](=[N])C+[NH-][N+](=C)O,True,True,True,True,rmg_rxn_915
[O-][N+](=N)[CH2]+[O-][N+](=N)C<=>[O-][N+](=N)[CH2]+[NH-][N+](=C)O,[O-][N+](=N)[CH2],[O-][N+](=N)C,[O-][N+](=N)[CH2],[NH-][N+](=C)O,[O-][N+](=N)[CH2]+[O-][N+](=N)C,[O-][N+](=N)[CH2]+[NH-][N+](=C)O,True,True,True,True,rmg_rxn_916
[O-][N+](=N)[CH2]+CC#N<=>[NH-][N+](=C)O+C=C=[N],[O-][N+](=N)[CH2],CC#N,[NH-][N+](=C)O,C=C=[N],[O-][N+](=N)[CH2]+CC#N,[NH-][N+](=C)O+C=C=[N],True,True,True,True,rmg_rxn_917
[O-][N+](=N)[CH2]+CC#CC<=>[NH-][N+](=C)O+[CH2]C#CC,[O-][N+](=N)[CH2],CC#CC,[NH-][N+](=C)O,[CH2]C#CC,[O-][N+](=N)[CH2]+CC#CC,[NH-][N+](=C)O+[CH2]C#CC,True,True,True,True,rmg_rxn_918
