product_0,product_1,reactant_0,reactant_1,reaction
NC=C=N,O=[C]C(F)(F)F,NC=C=[N],O=CC(F)(F)F,rxn_7323
[N-]=CC=[NH2+],O=[C]C(F)(F)F,[N-]=[C]C=[NH2+],O=CC(F)(F)F,rxn_7324
[N-]=C=C[NH3+],O=[C]C(F)(F)F,[N-]=C=C[NH2+],O=CC(F)(F)F,rxn_7325
NCC#N,O=[C]C(Cl)(Cl)Cl,N[CH]C#N,O=CC(Cl)(Cl)Cl,rxn_7326
NC=C=N,O=[C]C(Cl)(Cl)Cl,NC=C=[N],O=CC(Cl)(Cl)Cl,rxn_7327
[N-]=CC=[NH2+],O=[C]C(Cl)(Cl)Cl,[N-]=[C]C=[NH2+],O=CC(Cl)(Cl)Cl,rxn_7328
[N-]=C=C[NH3+],O=[C]C(Cl)(Cl)Cl,[N-]=C=C[NH2+],O=CC(Cl)(Cl)Cl,rxn_7329
NCC#N,O=[C]C(Br)(Br)Br,N[CH]C#N,O=CC(Br)(Br)Br,rxn_7330
NC=C=N,O=[C]C(Br)(Br)Br,NC=C=[N],O=CC(Br)(Br)Br,rxn_7331
[N-]=CC=[NH2+],O=[C]C(Br)(Br)Br,[N-]=[C]C=[NH2+],O=CC(Br)(Br)Br,rxn_7332
[N-]=C=C[NH3+],O=[C]C(Br)(Br)Br,[N-]=C=C[NH2+],O=CC(Br)(Br)Br,rxn_7333
C#C,[CH3],[C]#C,C,rxn_7334
C#C,[NH2],[C]#C,N,rxn_7335
C#C,[OH],[C]#C,O,rxn_7336
C#C,[C]#N,[C]#C,C#N,rxn_7337
C#C,[CH]=O,[C]#C,C=O,rxn_7338
C#C,C[O],[C]#C,CO,rxn_7339
C#C,[CH2]O,[C]#C,CO,rxn_7340
C#C,C#C[CH2],[C]#C,C#CC,rxn_7341
C#C,[C]#CC,[C]#C,C#CC,rxn_7342
C#C,[CH2]C#N,[C]#C,CC#N,rxn_7343
C#C,[CH2]C=O,[C]#C,CC=O,rxn_7344
C#C,C[C]=O,[C]#C,CC=O,rxn_7345
C#C,[NH]C=O,[C]#C,NC=O,rxn_7346
