rxn_smiles,reactant_0,reactant_1,product_0,product_1,reactants,products,r1_valid,r2_valid,p1_valid,p2_valid,reaction
CC=NO+[CH2]COCCC<=>CC=N[O]+CCCOCC,CC=NO,[CH2]COCCC,CC=N[O],CCCOCC,CC=NO+[CH2]COCCC,CC=N[O]+CCCOCC,True,True,True,True,rmg_rxn_156
CCN=O+[CH2]COCCC<=>CC=N[O]+CCCOCC,CCN=O,[CH2]COCCC,CC=N[O],CCCOCC,CCN=O+[CH2]COCCC,CC=N[O]+CCCOCC,True,True,True,True,rmg_rxn_157
CCSCC+[CH2]COCCC<=>[CH2]CSCC+CCCOCC,CCSCC,[CH2]COCCC,[CH2]CSCC,CCCOCC,CCSCC+[CH2]COCCC,[CH2]CSCC+CCCOCC,True,True,True,True,rmg_rxn_158
CCCC+[CH2]COCCC<=>C[CH]CC+CCCOCC,CCCC,[CH2]COCCC,C[CH]CC,CCCOCC,CCCC+[CH2]COCCC,C[CH]CC+CCCOCC,True,True,True,True,rmg_rxn_159
CC#N+[CH2]COCCC<=>C=C=[N]+CCCOCC,CC#N,[CH2]COCCC,C=C=[N],CCCOCC,CC#N+[CH2]COCCC,C=C=[N]+CCCOCC,True,True,True,True,rmg_rxn_165
CCN=O+[CH]CC<=>[CH2]CN=O+[CH2]CC,CCN=O,[CH]CC,[CH2]CN=O,[CH2]CC,CCN=O+[CH]CC,[CH2]CN=O+[CH2]CC,True,True,True,True,rmg_rxn_169
[NH]N+[CH2]CN=O<=>[N]N+CCN=O,[NH]N,[CH2]CN=O,[N]N,CCN=O,[NH]N+[CH2]CN=O,[N]N+CCN=O,True,True,True,True,rmg_rxn_170
[CH2]CN=O+CC[NH]<=>CC[N]+CCN=O,[CH2]CN=O,CC[NH],CC[N],CCN=O,[CH2]CN=O+CC[NH],CC[N]+CCN=O,True,True,True,True,rmg_rxn_171
[CH2]CN=O+CC#CC<=>CCN=O+[CH2]C#CC,[CH2]CN=O,CC#CC,CCN=O,[CH2]C#CC,[CH2]CN=O+CC#CC,CCN=O+[CH2]C#CC,True,True,True,True,rmg_rxn_172
[CH2]CN=O+CCS<=>CC[S]+CCN=O,[CH2]CN=O,CCS,CC[S],CCN=O,[CH2]CN=O+CCS,CC[S]+CCN=O,True,True,True,True,rmg_rxn_173
